bike_type,frame_material,production_cost,assembly_time,top_speed,battery_type,motor_power,customer_score
road,carbon fiber,714.46,77.73,28.48,lead acid,344W,6.85
mountain,carbon fiber,205.1,50.48,23.78,li-ion,335W,7.12
road,carbon fiber,742.37,72.1,25.8,li-ion,265W,8.68
road,steel,775.99,45.65,27.62,li-ion,300W,10.59
folding,aluminum,505.85,61.06,27.22,lead acid,255W,3.65
mountain,aluminum,288.84,44.62,25.07,li-ion,205W,6.15
road,steel,679.04,52.5,35.61,lead acid,197W,7.33
mountain,aluminum,345.87,73.46,32.62,lead acid,208W,5.78
mountain,steel,316.76,53.18,21.3,lead acid,183W,4.15
folding,steel,359.08,40.28,12.85,lead acid,309W,7.54
standard,steel,612.71,69.78,19.03,li-ion,260W,3.1
road,steel,489.34,64.46,26.42,nimh,309W,8.41
standard,carbon fiber,418.81,42.77,30.33,li-ion,259W,6.3
road,STEel,447.62,77.7,27.95,lead acid,232W,7.44
mountain,steel,417.61,52.95,13.83,nimh,226W,7.11
mountain,aluminum,564.98,22.96,22.21,lead acid,234W,7.42
road,steel,630.12,63.9,22.18,nimh,144W,7.07
road,aluminum,350.08,59.66,28.6,nimh,292W,5.22
folding,carbon fiber,261.83,93.33,25.18,nimh,234W,4.35
road,carbon fiber,661.93,68.39,27.4,lead acid,120W,3.79
mountain,aluminum,735.17,63.58,18.34,nimh,224W,4.89
standard,carbon fiber,481.24,75.53,33.57,li-ion,214W,9.7
mountain,steel,720.76,45.75,34.22,nimh,285W,9.86
folding,steel,656.53,54.28,23.01,lead acid,248W,9.86
road,steel,770.29,54.97,24.54,lead acid,190W,7.62
road,steel,723.16,57.83,,li-ion,222W,5.89
road,steel,485.44,35.33,13.11,nimh,298W,4.13
folding,carbon fiber,209.3,35.21,24.03,li-ion,276W,6.4
road,carbon fiber,260.33,56.85,16.33,lead acid,246W,6.62
road,aluminum,311.96,33.87,17.29,-,248W,6.81
folding,steel,424.51,63.44,27.57,nimh,232W,8.23
mountain,carbon fiber,676.04,69.19,32.98,lead acid,296W,6.23
road,carbon fiber,224.61,58.49,28.23,lead acid,182W,6.28
standard,steel,588.69,45.56,24.8,lead acid,270W,7.22
standard,steel,671.24,85.63,27.66,li-ion,199W,7.09
folding,steel,253.43,56.85,20.97,li-ion,271W,6.14
mountain,aluminum,285.54,61.35,24.07,nimh,185W,3.16
standard,carbon fiber,284.04,52.18,29.41,nimh,287W,3.83
road,steel,285.84,64.98,30.89,li-ion,353W,7.11
standard,carbon fiber,389.99,42.23,23.17,nimh,213W,5.84
mountain,aluminum,573.39,34.39,18.57,lead acid,228W,4.03
road,carbon fiber,727.96,90.78,19.45,-,334W,7.9
road,carbon fiber,559.88,52.65,31.91,lead acid,293W,8.16
standard,aluminum,282.84,51.55,23.6,lead acid,251W,4.3
mountain,carbon fiber,490.25,33.65,25.78,nimh,260W,7.65
road,aluminum,335.37,56.84,24.75,li-ion,298W,4.32
folding,aluminum,455.13,57.96,25.67,lead acid,207W,6.35
mountain,carbon fiber,203.0,75.96,15.3,lead acid,313W,7.08
mountain,aluminum,490.55,72.37,,nimh,271W,4.42
road,STEel,427.51,64.72,19.06,nimh,259W,4.33
folding,steel,497.45,66.59,19.43,li-ion,234W,6.38
road,carbon fiber,460.83,84.48,25.2,li-ion,227W,7.02
road,carbon fiber,712.66,43.52,24.09,lead acid,296W,7.57
standard,aluminum,640.02,41.55,19.24,nimh,239W,7.94
mountain,carbon fiber,263.63,40.17,21.24,lead acid,287W,5.56
folding,aluminum,373.19,70.48,19.07,li-ion,293W,6.7
standard,carbon fiber,511.26,65.5,32.12,nimh,233W,6.25
folding,aluminum,247.12,80.94,25.56,nimh,271W,7.66
folding,steel,613.31,41.47,27.39,nimh,251W,6.91
road,aluminum,231.52,40.04,30.36,lead acid,220W,3.13
road,aluminum,751.08,60.29,19.46,li-ion,311W,8.35
road,steel,437.42,99.52,27.74,li-ion,255W,4.57
standard,steel,415.21,82.69,25.94,nimh,257W,7.03
mountain,carbon fiber,566.48,54.64,29.29,li-ion,249W,7.21
standard,aluminum,373.79,48.66,22.92,li-ion,317W,4.83
standard,steel,575.79,52.85,24.09,-,187W,5.55
folding,aluminum,244.12,47.63,21.54,li-ion,199W,5.34
mountain,steel,413.41,52.55,31.99,nimh,222W,4.1
folding,aluminum,416.11,83.12,21.65,li-ion,312W,7.25
standard,carbon fiber,683.24,67.71,28.03,li-ion,182W,5.33
folding,carbon fiber,512.46,74.48,17.93,nimh,270W,5.53
folding,steel,586.29,73.7,27.3,lead acid,241W,5.77
mountain,steel,774.49,44.64,17.18,nimh,235W,7.81
folding,steel,547.87,50.07,21.78,li-ion,211W,7.76
mountain,aluminum,359.98,41.11,27.7,li-ion,289W,6.03
road,aluminum,691.05,63.37,27.63,nimh,313W,8.34
road,carbon fiber,791.3,74.09,22.18,li-ion,258W,6.12
standard,aluminum,274.14,63.49,19.59,li-ion,220W,4.28
standard,carbon fiber,374.69,53.45,18.77,nimh,291W,4.87
standard,steel,702.75,78.8,22.52,-,212W,7.38
standard,aluminum,578.79,59.62,21.65,li-ion,226W,5.72
standard,carbon fiber,257.63,54.82,20.19,li-ion,314W,6.06
road,carbon fiber,250.73,50.09,33.06,lead acid,297W,6.64
mountain,aluminum,389.39,65.13,27.55,li-ion,324W,7.73
road,carbon fiber,387.29,77.67,18.84,-,258W,5.01
standard,steel,284.64,59.85,17.13,nimh,242W,5.68
mountain,aluminum,637.02,95.76,14.56,li-ion,223W,6.88
folding,steel,301.45,46.57,22.88,lead acid,202W,3.66
mountain,steel,316.46,59.75,26.07,-,313W,3.94
road,aluminum,425.11,74.54,29.45,lead acid,298W,6.94
mountain,steel,244.72,55.59,20.22,nimh,293W,3.92
folding,aluminum,365.38,22.31,,li-ion,314W,4.98
mountain,carbon fiber,206.9,47.93,30.13,nimh,252W,7.05
mountain,steel,286.14,86.93,,lead acid,339W,3.73
folding,aluminum,692.25,37.84,21.25,li-ion,255W,3.41
folding,carbon fiber,734.57,65.24,12.82,lead acid,347W,6.69
folding,carbon fiber,673.34,38.41,,lead acid,276W,8.9
mountain,carbon fiber,626.81,39.09,20.48,lead acid,244W,5.62
standard,aluminum,338.67,39.57,,nimh,236W,3.92
folding,STEel,753.48,46.24,23.71,lead acid,234W,7.93
standard,carbon fiber,582.39,50.15,32.62,li-ion,206W,6.38
folding,aluminum,354.28,63.17,31.56,nimh,212W,6.32
folding,carbon fiber,615.41,64.39,17.31,li-ion,188W,6.18
standard,carbon fiber,746.27,44.37,21.9,li-ion,297W,6.52
folding,steel,586.89,48.07,25.85,lead acid,267W,4.06
standard,steel,226.11,44.68,21.76,nimh,268W,6.0
mountain,steel,457.53,86.58,24.16,li-ion,274W,4.39
mountain,steel,791.6,75.38,22.23,nimh,256W,7.94
standard,steel,635.22,53.02,21.03,li-ion,366W,8.58
road,steel,778.69,37.05,26.06,lead acid,268W,9.5
standard,aluminum,402.6,42.8,18.73,lead acid,277W,4.97
mountain,steel,399.3,87.05,19.02,lead acid,300W,7.51
folding,steel,777.79,73.54,28.52,li-ion,251W,8.57
folding,steel,588.09,70.41,21.99,li-ion,247W,7.93
mountain,steel,628.61,56.66,33.27,lead acid,247W,6.17
folding,steel,396.6,50.6,17.52,li-ion,207W,7.31
mountain,aluminum,469.23,49.67,22.07,li-ion,232W,5.93
folding,aluminum,558.98,65.43,16.97,lead acid,228W,6.47
road,steel,520.26,56.78,25.52,lead acid,236W,7.75
mountain,aluminum,476.14,48.49,22.84,li-ion,239W,7.3
road,steel,721.66,63.51,26.36,nimh,176W,7.1
mountain,steel,375.29,50.13,26.52,lead acid,209W,4.5
folding,steel,761.28,52.58,29.22,lead acid,247W,8.84
folding,carbon fiber,643.92,47.46,24.01,nimh,261W,7.41
mountain,steel,229.11,31.98,32.47,li-ion,176W,6.56
folding,aluminum,363.28,33.45,25.38,lead acid,176W,7.59
mountain,aluminum,415.51,83.56,24.19,nimh,270W,7.07
standard,steel,728.26,79.99,24.79,lead acid,242W,8.21
road,carbon fiber,557.48,41.7,28.94,nimh,251W,6.24
folding,aluminum,360.28,39.88,25.73,nimh,185W,6.61
mountain,steel,725.86,62.15,28.99,lead acid,338W,7.22
standard,steel,670.94,78.11,35.35,nimh,307W,8.96
mountain,carbon fiber,678.14,63.69,25.04,lead acid,306W,5.68
mountain,steel,370.49,75.35,21.95,li-ion,231W,6.77
mountain,carbon fiber,601.3,73.53,20.86,lead acid,248W,6.81
folding,steel,766.38,74.6,32.5,li-ion,365W,10.02
folding,aluminum,659.53,59.09,24.83,lead acid,242W,8.78
standard,aluminum,335.67,60.78,24.99,nimh,377W,3.73
standard,aluminum,609.4,85.48,20.97,li-ion,322W,7.36
mountain,aluminum,503.15,76.56,21.88,nimh,366W,3.69
folding,steel,264.23,45.77,26.19,li-ion,231W,6.67
mountain,aluminum,584.19,70.83,37.77,nimh,222W,7.48
standard,steel,501.95,52.87,20.04,nimh,252W,4.81
road,aluminum,287.34,72.18,28.64,-,230W,5.42
standard,steel,311.06,52.83,22.43,lead acid,235W,6.92
standard,steel,361.18,47.59,21.43,lead acid,370W,6.28
mountain,steel,303.85,39.06,15.13,lead acid,163W,6.4
mountain,steel,604.0,43.22,30.65,lead acid,244W,7.25
folding,steel,243.52,75.87,31.18,li-ion,257W,4.44
standard,steel,554.18,70.37,21.6,nimh,190W,6.17
folding,carbon fiber,625.01,57.45,25.53,lead acid,172W,6.46
standard,steel,252.83,20.0,22.54,lead acid,280W,5.9
road,aluminum,602.5,73.34,17.73,li-ion,255W,8.35
mountain,steel,358.78,71.81,25.99,-,335W,7.81
mountain,aluminum,722.26,46.82,25.97,li-ion,193W,8.27
road,steel,296.35,86.29,20.93,-,230W,6.31
mountain,steel,722.86,51.77,36.25,lead acid,227W,8.18
road,steel,772.69,62.44,19.95,lead acid,286W,7.68
mountain,aluminum,664.63,54.6,23.94,nimh,267W,8.26
standard,aluminum,409.2,38.64,27.18,lead acid,282W,4.14
folding,carbon fiber,295.75,65.7,30.31,nimh,222W,4.41
standard,carbon fiber,522.66,68.19,14.86,lead acid,209W,5.82
folding,steel,466.23,44.5,23.96,li-ion,279W,6.07
mountain,carbon fiber,293.05,20.85,25.72,nimh,241W,7.58
road,aluminum,516.66,55.07,25.77,li-ion,339W,6.85
mountain,STEel,692.55,28.34,26.25,li-ion,311W,7.2
standard,aluminum,344.07,52.93,21.25,li-ion,316W,4.88
standard,steel,603.1,59.44,22.54,li-ion,300W,5.6
folding,aluminum,668.83,62.53,17.57,lead acid,246W,7.39
road,carbon fiber,475.54,28.05,27.19,lead acid,314W,6.72
mountain,carbon fiber,549.37,66.8,28.47,lead acid,258W,7.78
folding,aluminum,755.58,37.48,34.59,li-ion,200W,6.9
mountain,carbon fiber,639.12,59.32,27.98,lead acid,257W,8.25
mountain,carbon fiber,496.55,64.15,36.28,nimh,201W,7.06
folding,aluminum,206.0,42.77,22.79,li-ion,217W,5.39
standard,carbon fiber,384.59,55.75,22.27,lead acid,341W,4.94
mountain,steel,396.0,51.49,20.5,nimh,314W,4.57
road,carbon fiber,661.63,71.69,15.55,li-ion,299W,5.88
road,carbon fiber,212.31,54.93,27.75,li-ion,287W,6.72
folding,steel,353.38,70.07,30.28,nimh,289W,4.55
mountain,aluminum,637.92,55.35,21.96,li-ion,211W,7.09
mountain,carbon fiber,750.78,68.26,30.76,lead acid,208W,5.71
standard,steel,452.73,85.63,23.58,nimh,265W,5.24
standard,steel,608.8,70.2,25.05,nimh,272W,6.13
standard,steel,263.93,21.42,,li-ion,210W,4.66
mountain,carbon fiber,603.7,43.95,23.69,li-ion,251W,5.9
mountain,aluminum,619.01,65.5,16.16,nimh,286W,7.12
standard,carbon fiber,625.31,43.12,28.07,lead acid,237W,7.93
mountain,carbon fiber,298.15,53.61,23.01,lead acid,194W,5.06
standard,steel,488.14,57.87,10.81,li-ion,249W,7.37
road,carbon fiber,607.6,56.72,27.75,li-ion,292W,5.24
standard,carbon fiber,717.16,114.5,21.04,-,264W,5.45
folding,carbon fiber,383.39,64.03,29.97,lead acid,217W,5.96
mountain,carbon fiber,471.94,66.99,19.31,nimh,228W,6.66
folding,carbon fiber,212.61,56.24,15.16,nimh,227W,7.66
road,steel,605.8,80.28,22.69,nimh,254W,8.61
folding,carbon fiber,649.92,53.9,28.55,lead acid,351W,7.18
mountain,steel,371.09,76.33,32.2,lead acid,206W,6.97
mountain,aluminum,389.09,49.19,16.87,li-ion,280W,8.83
folding,aluminum,758.58,59.89,28.61,lead acid,304W,7.03
standard,aluminum,419.11,64.55,27.95,lead acid,229W,7.16
standard,carbon fiber,773.59,57.05,27.57,li-ion,254W,5.9
standard,aluminum,448.82,57.85,21.91,lead acid,341W,6.13
folding,carbon fiber,564.68,60.88,26.63,lead acid,344W,7.39
standard,steel,492.95,73.16,28.34,li-ion,244W,5.83
mountain,carbon fiber,477.04,47.06,30.46,lead acid,264W,7.83
folding,carbon fiber,332.37,64.67,26.53,li-ion,251W,6.2
mountain,steel,685.94,58.65,25.61,nimh,220W,7.04
folding,steel,723.76,54.06,26.17,nimh,292W,6.26
road,aluminum,665.83,49.12,32.76,nimh,338W,7.07
road,aluminum,207.8,63.19,40.16,li-ion,305W,7.93
mountain,steel,200.9,50.31,20.67,nimh,223W,6.44
folding,aluminum,440.72,79.28,18.56,lead acid,196W,5.09
folding,carbon fiber,792.8,48.75,22.03,lead acid,178W,6.17
road,aluminum,730.07,84.68,28.16,li-ion,151W,7.64
folding,steel,278.34,54.04,21.74,li-ion,286W,3.95
mountain,steel,228.21,64.82,,nimh,247W,5.97
folding,aluminum,351.28,51.46,23.58,lead acid,375W,7.2
road,aluminum,294.85,46.12,18.83,li-ion,229W,6.16
road,carbon fiber,637.62,80.87,20.98,li-ion,288W,8.59
folding,steel,372.59,66.84,32.09,nimh,311W,6.94
mountain,carbon fiber,675.74,60.99,24.18,lead acid,308W,8.13
standard,STEel,445.82,34.91,25.82,nimh,275W,7.44
standard,aluminum,543.97,85.91,33.45,nimh,141W,5.89
standard,carbon fiber,474.94,59.73,24.97,li-ion,226W,7.28
folding,steel,450.03,73.46,21.39,lead acid,284W,5.47
standard,steel,610.61,20.0,23.2,li-ion,157W,7.57
standard,carbon fiber,262.13,60.99,30.2,lead acid,266W,5.24
standard,carbon fiber,522.96,65.51,28.49,li-ion,226W,4.03
folding,aluminum,794.0,75.23,26.77,nimh,318W,10.37
standard,carbon fiber,478.84,60.78,28.96,nimh,218W,6.06
road,aluminum,515.46,53.2,20.87,nimh,243W,5.81
road,carbon fiber,516.36,67.11,,li-ion,230W,8.02
road,steel,799.1,49.38,25.8,nimh,316W,7.77
standard,carbon fiber,676.34,41.61,23.14,li-ion,244W,7.79
mountain,steel,233.02,65.51,34.82,lead acid,241W,5.77
folding,steel,299.05,68.45,22.5,li-ion,147W,4.9
road,steel,531.07,55.72,19.42,lead acid,213W,9.87
road,STEel,534.37,75.4,24.36,lead acid,175W,5.1
mountain,steel,544.87,67.52,27.51,nimh,260W,5.46
standard,aluminum,282.24,45.63,24.79,nimh,198W,8.28
road,steel,655.33,59.28,20.81,li-ion,179W,6.74
folding,steel,676.64,64.27,28.52,lead acid,235W,7.47
mountain,aluminum,306.85,58.46,23.83,nimh,241W,5.01
folding,carbon fiber,250.13,51.7,33.35,nimh,213W,3.34
folding,steel,594.4,66.94,32.3,li-ion,176W,5.57
road,steel,235.12,69.79,27.02,nimh,223W,2.94
road,carbon fiber,601.0,56.95,31.13,li-ion,256W,9.29
road,carbon fiber,650.23,62.86,14.42,lead acid,248W,6.16
road,steel,780.19,48.33,22.26,li-ion,229W,9.74
standard,aluminum,450.63,66.56,,-,299W,5.43
road,steel,552.38,51.59,30.33,lead acid,221W,5.12
mountain,steel,227.91,67.75,30.51,li-ion,251W,4.49
standard,carbon fiber,307.45,47.51,28.61,-,286W,4.5
standard,aluminum,653.53,81.05,26.14,li-ion,308W,8.12
mountain,carbon fiber,407.7,67.5,19.33,li-ion,180W,6.11
standard,carbon fiber,580.29,52.21,32.19,li-ion,170W,7.18
mountain,aluminum,372.29,62.23,23.43,nimh,217W,7.75
standard,aluminum,681.14,84.91,31.81,nimh,225W,5.74
folding,aluminum,786.49,59.97,22.1,nimh,248W,6.32
folding,aluminum,685.64,66.72,30.93,lead acid,113W,7.89
standard,carbon fiber,330.57,71.41,32.39,nimh,281W,6.52
road,aluminum,739.07,60.13,33.03,-,283W,8.38
folding,aluminum,362.08,56.23,35.48,lead acid,254W,5.71
standard,carbon fiber,712.96,40.07,30.81,lead acid,362W,6.0
folding,carbon fiber,729.76,59.79,29.07,nimh,199W,7.0
standard,steel,793.7,53.19,17.03,li-ion,194W,8.02
mountain,steel,338.97,49.2,28.48,nimh,222W,6.08
standard,aluminum,414.61,79.14,22.55,li-ion,317W,5.29
standard,steel,532.87,51.93,32.99,nimh,309W,5.48
folding,carbon fiber,623.51,62.11,24.25,lead acid,208W,8.5
folding,steel,231.82,73.76,16.87,nimh,295W,6.1
mountain,aluminum,500.45,56.76,24.16,li-ion,281W,4.33
folding,carbon fiber,764.88,45.55,19.11,li-ion,256W,8.07
road,steel,224.01,63.47,28.56,li-ion,280W,4.03
standard,aluminum,736.97,68.74,18.91,nimh,277W,6.67
folding,carbon fiber,558.68,91.97,28.94,nimh,224W,8.55
mountain,steel,776.29,48.79,18.59,li-ion,193W,8.65
mountain,carbon fiber,469.83,70.44,22.31,lead acid,267W,5.41
road,aluminum,209.0,49.16,27.8,nimh,342W,4.71
standard,carbon fiber,202.7,76.59,20.69,li-ion,255W,5.32
standard,steel,540.07,56.92,25.83,lead acid,278W,4.89
mountain,carbon fiber,539.17,46.25,,-,226W,6.07
folding,steel,353.08,64.19,13.81,nimh,271W,3.2
standard,carbon fiber,651.13,80.28,24.42,li-ion,231W,10.23
mountain,aluminum,371.99,37.4,25.1,li-ion,174W,5.13
standard,aluminum,434.42,43.54,21.49,li-ion,321W,7.48
road,steel,269.63,47.11,28.04,nimh,310W,6.0
mountain,steel,308.95,61.27,24.32,lead acid,309W,7.82
road,steel,346.47,77.31,21.14,nimh,158W,2.72
road,carbon fiber,668.23,71.09,22.81,li-ion,273W,8.95
folding,aluminum,435.02,59.13,24.01,nimh,234W,8.92
mountain,steel,635.52,48.45,33.35,lead acid,234W,6.76
standard,aluminum,634.32,44.17,31.92,lead acid,228W,7.62
folding,carbon fiber,459.63,43.27,18.67,li-ion,232W,6.32
mountain,STEel,596.5,91.8,,lead acid,230W,7.64
road,aluminum,479.44,68.17,,nimh,207W,4.82
road,steel,210.81,58.0,32.98,nimh,298W,3.28
road,aluminum,424.81,70.58,23.51,lead acid,157W,7.48
road,aluminum,606.1,50.08,28.13,li-ion,365W,5.25
road,aluminum,769.38,70.35,22.73,lead acid,297W,7.4
folding,steel,590.5,57.55,22.73,nimh,264W,8.09
standard,steel,672.74,66.44,29.77,li-ion,220W,7.44
folding,steel,445.52,52.85,27.63,li-ion,332W,6.44
road,carbon fiber,724.96,80.58,21.38,lead acid,150W,7.77
road,aluminum,221.01,63.07,26.97,li-ion,306W,7.87
mountain,aluminum,540.37,43.85,24.92,nimh,214W,5.26
standard,aluminum,274.44,62.73,29.46,li-ion,211W,4.82
mountain,carbon fiber,331.47,82.65,28.65,lead acid,304W,3.61
folding,aluminum,628.31,93.9,23.51,li-ion,236W,6.21
mountain,STEel,718.36,54.99,23.91,lead acid,330W,8.18
standard,steel,266.33,67.04,33.23,lead acid,230W,5.85
road,carbon fiber,340.47,40.34,,li-ion,257W,6.48
road,steel,367.48,94.87,28.3,lead acid,236W,7.85
road,carbon fiber,364.48,57.68,22.86,lead acid,325W,4.38
mountain,aluminum,512.16,58.37,26.67,lead acid,238W,6.68
standard,STEel,649.32,57.51,18.46,li-ion,252W,6.6
mountain,carbon fiber,525.96,28.45,20.59,li-ion,212W,5.87
road,carbon fiber,443.42,91.13,29.85,li-ion,314W,6.89
mountain,aluminum,541.27,78.44,23.74,nimh,280W,8.43
mountain,steel,435.62,54.95,21.22,nimh,281W,3.36
road,carbon fiber,677.24,65.99,15.14,nimh,225W,6.07
standard,steel,540.97,55.84,15.6,lead acid,293W,8.39
mountain,steel,449.72,80.11,22.36,li-ion,295W,5.62
standard,steel,665.23,60.82,26.8,lead acid,201W,7.96
mountain,aluminum,336.57,68.9,23.08,lead acid,247W,5.6
folding,steel,640.62,46.83,25.36,-,249W,7.3
mountain,carbon fiber,558.08,51.03,28.04,lead acid,330W,7.9
mountain,aluminum,242.62,92.61,22.93,lead acid,321W,4.04
standard,steel,761.88,25.39,16.12,li-ion,284W,8.0
standard,carbon fiber,694.95,65.98,35.07,li-ion,213W,8.2
mountain,steel,209.9,101.32,33.73,lead acid,269W,3.39
folding,steel,572.79,36.82,25.88,li-ion,298W,3.98
folding,steel,200.0,80.68,25.09,lead acid,287W,5.37
mountain,steel,605.2,47.13,24.18,-,164W,5.82
standard,carbon fiber,705.75,73.26,27.39,li-ion,244W,6.64
standard,steel,278.64,59.48,34.96,nimh,210W,8.04
road,carbon fiber,411.01,84.19,26.3,li-ion,289W,5.34
mountain,steel,693.75,45.28,17.07,lead acid,233W,5.2
standard,carbon fiber,614.81,110.56,25.06,lead acid,177W,9.43
road,carbon fiber,318.56,62.3,26.52,lead acid,278W,3.91
folding,carbon fiber,210.51,37.54,26.18,li-ion,246W,5.35
road,carbon fiber,446.12,59.18,29.45,nimh,204W,7.93
standard,aluminum,263.03,45.92,29.57,lead acid,232W,7.73
road,carbon fiber,744.47,48.32,24.6,nimh,204W,9.87
road,steel,579.39,71.89,18.56,nimh,348W,6.43
folding,steel,335.97,77.31,,lead acid,241W,5.37
standard,carbon fiber,797.3,62.23,18.18,li-ion,169W,7.87
folding,STEel,337.17,63.86,22.5,nimh,324W,4.38
mountain,steel,302.35,56.67,18.79,-,300W,5.63
mountain,carbon fiber,637.32,35.64,35.51,nimh,199W,5.46
road,carbon fiber,444.92,44.32,25.76,li-ion,151W,7.32
folding,aluminum,664.03,59.4,23.77,li-ion,216W,8.95
road,aluminum,582.99,50.33,27.33,nimh,243W,5.66
folding,carbon fiber,285.24,69.12,13.13,li-ion,287W,6.81
road,aluminum,249.22,52.23,23.65,nimh,229W,7.62
road,aluminum,267.23,39.35,24.46,nimh,234W,4.02
road,aluminum,236.32,87.22,,nimh,314W,4.83
mountain,aluminum,559.58,39.07,28.22,li-ion,169W,8.46
mountain,carbon fiber,468.03,88.51,23.23,lead acid,271W,5.05
mountain,aluminum,549.07,68.95,23.42,lead acid,209W,5.18
folding,steel,472.24,67.91,30.32,li-ion,272W,7.35
folding,aluminum,459.93,90.52,24.61,lead acid,241W,5.38
road,steel,438.32,55.32,32.44,li-ion,290W,6.37
standard,steel,641.52,73.06,29.93,nimh,286W,7.58
road,steel,271.74,53.55,28.86,li-ion,275W,4.26
standard,steel,702.45,58.05,24.21,lead acid,302W,7.26
folding,carbon fiber,498.05,62.42,15.97,-,315W,6.52
mountain,aluminum,569.18,86.76,22.9,lead acid,264W,6.32
mountain,aluminum,748.97,88.23,32.54,nimh,230W,9.61
standard,carbon fiber,375.89,54.49,20.11,lead acid,202W,8.25
folding,aluminum,727.66,65.56,30.24,nimh,220W,9.57
road,steel,394.2,39.72,20.19,nimh,229W,5.46
mountain,aluminum,393.6,59.08,31.24,nimh,215W,7.9
folding,steel,725.26,51.52,31.33,nimh,298W,6.97
folding,aluminum,412.51,73.53,24.26,lead acid,261W,4.46
mountain,aluminum,405.6,50.16,21.94,lead acid,374W,7.54
folding,carbon fiber,484.54,76.12,24.31,li-ion,228W,6.67
road,aluminum,757.98,70.4,19.9,nimh,279W,8.89
standard,aluminum,705.45,66.58,32.02,nimh,222W,10.15
standard,steel,673.04,63.82,29.0,nimh,271W,6.35
folding,aluminum,747.77,85.17,,lead acid,221W,6.69
standard,steel,708.75,26.5,24.97,li-ion,230W,6.2
folding,carbon fiber,314.96,55.84,22.85,-,221W,3.08
road,carbon fiber,341.37,48.86,34.26,nimh,264W,7.69
road,carbon fiber,739.37,63.36,23.93,lead acid,220W,6.21
folding,aluminum,716.86,66.11,20.41,lead acid,273W,10.24
mountain,steel,475.24,60.05,28.93,lead acid,249W,7.13
folding,steel,519.06,55.9,17.99,li-ion,243W,6.17
mountain,aluminum,221.61,47.25,22.13,lead acid,245W,6.1
road,carbon fiber,724.36,55.89,27.37,nimh,215W,7.75
road,carbon fiber,537.07,63.52,20.65,nimh,207W,6.05
folding,carbon fiber,666.73,97.22,23.4,nimh,260W,7.51
standard,carbon fiber,497.15,80.92,25.62,nimh,329W,6.2
road,aluminum,279.24,34.64,24.01,li-ion,209W,4.55
mountain,aluminum,585.39,58.3,22.99,nimh,320W,9.87
folding,carbon fiber,232.12,61.99,18.81,nimh,338W,4.99
folding,steel,473.14,39.56,23.28,lead acid,333W,7.71
mountain,carbon fiber,258.53,53.04,16.92,nimh,335W,4.34
road,aluminum,486.94,39.37,22.41,li-ion,196W,6.29
road,aluminum,571.59,37.76,31.85,nimh,244W,6.73
road,aluminum,752.58,70.08,18.53,nimh,189W,6.12
mountain,aluminum,788.29,55.08,17.07,nimh,232W,7.14
mountain,carbon fiber,759.18,81.53,21.76,nimh,251W,5.62
folding,carbon fiber,386.69,58.16,22.51,lead acid,256W,4.72
folding,carbon fiber,741.17,80.04,27.09,li-ion,257W,8.14
standard,aluminum,326.96,51.47,24.85,lead acid,243W,6.06
folding,aluminum,738.47,70.39,14.42,nimh,271W,8.35
standard,carbon fiber,339.27,43.21,18.43,nimh,229W,6.28
standard,aluminum,709.35,32.99,23.71,lead acid,220W,5.62
folding,steel,525.36,61.95,24.66,li-ion,310W,7.09
folding,aluminum,788.59,92.09,21.77,lead acid,247W,5.63
standard,carbon fiber,766.68,53.54,25.71,lead acid,233W,7.66
standard,carbon fiber,747.17,45.7,19.15,li-ion,289W,7.86
road,steel,533.47,89.05,23.72,li-ion,147W,6.83
mountain,carbon fiber,553.58,60.05,23.71,nimh,247W,8.44
road,steel,757.38,46.74,26.14,li-ion,207W,4.96
standard,carbon fiber,605.5,51.53,28.38,-,204W,8.51
folding,carbon fiber,794.9,69.56,27.53,nimh,321W,8.22
folding,carbon fiber,467.43,45.94,23.18,lead acid,265W,6.24
mountain,carbon fiber,264.83,72.08,26.54,nimh,334W,3.86
folding,carbon fiber,228.81,60.34,28.87,lead acid,228W,4.78
folding,carbon fiber,768.18,67.9,14.19,nimh,301W,6.72
standard,aluminum,427.21,57.6,22.41,li-ion,228W,8.49
mountain,steel,560.78,45.67,25.92,lead acid,182W,7.37
folding,steel,524.46,63.52,27.94,nimh,272W,6.03
mountain,STEel,563.78,51.31,31.94,lead acid,336W,7.5
standard,steel,222.81,81.41,30.09,lead acid,272W,4.92
road,steel,238.72,65.93,28.09,nimh,264W,7.9
road,carbon fiber,766.08,55.93,28.14,lead acid,227W,8.19
mountain,steel,599.5,61.51,23.96,nimh,291W,7.25
folding,carbon fiber,570.69,76.71,17.49,nimh,280W,4.88
mountain,aluminum,364.18,47.16,29.15,li-ion,204W,5.7
mountain,aluminum,507.35,64.41,22.85,nimh,353W,6.38
standard,carbon fiber,794.6,69.87,23.39,nimh,269W,8.81
mountain,aluminum,491.75,46.93,27.22,lead acid,172W,6.48
standard,aluminum,426.61,56.21,29.02,lead acid,271W,4.9
standard,steel,365.98,68.42,27.18,lead acid,267W,4.74
standard,steel,529.56,36.46,20.04,nimh,181W,6.62
road,aluminum,679.94,73.11,23.74,nimh,261W,8.16
road,steel,648.12,72.41,27.64,nimh,341W,9.34
standard,aluminum,513.06,38.85,17.69,li-ion,336W,9.35
standard,steel,751.68,66.63,21.03,-,222W,8.15
folding,carbon fiber,777.49,60.1,30.15,lead acid,298W,5.52
